Pathways	Compounds of pathway	Reactions of pathway	SMILES
allantoin degradation to glyoxylate I	glyoxylate // H+ // (S)-(+)-allantoin // urea // (S)-ureidoglycolate // H2O // allantoate	allantoate + H2O  ->  (S)-ureidoglycolate + urea // (S)-(+)-allantoin + H2O  ->  allantoate + H+ // (S)-ureidoglycolate  ->  urea + glyoxylate	C(C(=O)[O-])=O // [H+] // C(=O)(N)N[C@H]1(NC(=O)NC(=O)1) // C(=O)(N)N // [C@@H](O)(C([O-])=O)NC(N)=O // O // C(C(=O)[O-])(NC(=O)N)NC(=O)N
L-valine biosynthesis	H2O // 3-methyl-2-oxobutanoate // L-glutamate // L-valine // 2-oxoglutarate // NADPH // (2R)-2,3-dihydroxy-3-methylbutanoate // NADP+ // CO2 // (S)-2-acetolactate // H+ // pyruvate	2 pyruvate + H+  ->  (S)-2-acetolactate + CO2 // (2R)-2,3-dihydroxy-3-methylbutanoate + NADP+  <-  (S)-2-acetolactate + NADPH + H+ // L-valine + 2-oxoglutarate  <-->  L-glutamate + 3-methyl-2-oxobutanoate // (2R)-2,3-dihydroxy-3-methylbutanoate  ->  3-methyl-2-oxobutanoate + H2O	O // CC(C(C([O-])=O)=O)C // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // CC(C)[C@H]([NH3+])C([O-])=O // C(CC([O-])=O)C(=O)C([O-])=O // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // CC(C)(O)[C@@H](O)C(=O)[O-] // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C(=O)=O // CC(=O)[C@](C)(O)C(=O)[O-] // [H+] // CC(=O)C(=O)[O-]
superpathway of purine nucleotides de novo biosynthesis I	ammonia // 5-phospho-alpha-D-ribose 1-diphosphate // 5-phospho-beta-D-ribosylamine // glycine // N1-(5-phospho-beta-D-ribosyl)glycinamide // N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide // 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine // CO2 // 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole // a tetrahydrofolate // an N10-formyltetrahydrofolate // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide // 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide // dATP // dADP // phosphate // L-aspartate // fumarate // adenylosuccinate // NADH // NAD+ // IMP // AMP // diphosphate // L-glutamate // H+ // XMP // L-glutamine // GMP // GTP // a reduced thioredoxin // GDP // an oxidized thioredoxin // H2O // ADP // dGTP // dGDP // ATP	dGDP + ATP  ->  dGTP + ADP // dGDP + oxidized thioredoxin + H2O  <-  GDP + reduced thioredoxin // GDP + ATP  ->  GTP + ADP // GMP + ATP  <-->  GDP + ADP // XMP + L-glutamine + ATP + H2O  ->  L-glutamate + GMP + AMP + diphosphate + 2 H+ // IMP + NAD+ + H2O  <-->  XMP + NADH + H+ // AMP + ATP  <-->  2 ADP // adenylosuccinate  ->  fumarate + AMP // L-aspartate + IMP + GTP  ->  adenylosuccinate + GDP + phosphate + 2 H+ // dADP + ATP  ->  dATP + ADP // ADP reductase // IMP + H2O  <-  5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide // an N10-formyltetrahydrofolate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide  ->  a tetrahydrofolate + 5-formamido-1-(5-phospho-D-ribosyl)-imidazole-4-carboxamide // 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole  ->  fumarate + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide // ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate  ->  ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+ // 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + 2 H+  <-->  5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + CO2 // ATP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine  ->  ADP + 5-amino-1-(5-phospho-beta-D-ribosyl)imidazole + phosphate + H+ // ATP + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + L-glutamine + H2O  ->  L-glutamate + ADP + 2-(formamido)-N1-(5-phospho-beta-D-ribosyl)acetamidine + phosphate + H+ // an N10-formyltetrahydrofolate + N1-(5-phospho-beta-D-ribosyl)glycinamide  <-->  a tetrahydrofolate + N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide + H+ // ATP + 5-phospho-beta-D-ribosylamine + glycine  ->  ADP + N1-(5-phospho-beta-D-ribosyl)glycinamide + phosphate + H+ // 5-phospho-beta-D-ribosylamine + L-glutamate + diphosphate  <-->  5-phospho-alpha-D-ribose 1-diphosphate + L-glutamine + H2O	N // C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O) // C(OP([O-])(=O)[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H]([NH3+])O1) // C([NH3+])C([O-])=O // C([NH3+])C(=O)N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1) // C(NC=O)C(=O)N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1) // C(NC=O)C(N[C@H]1([C@H](O)[C@H](O)[C@@H](COP([O-])(=O)[O-])O1))=[NH2+] // C(=O)=O // C1(\[NH+]=C/N(C(/N)=1)[C@@H]2(O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@@H](O)2)) // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/N)=C(C(=O)[O-])/N=C\1))[C@H](O)[C@H](O)2) // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/N)=C(C(=O)NC(C([O-])=O)CC([O-])=O)/N=C\1))[C@H](O)[C@H](O)2) // [R] // C([R])(CC[C@@H](C(=O)[O-])NC(=O)C3(\C=C/C(/N(C=O)C[C@H]1(CNC2(/N=C(N)\NC(=O)C(/N1)=2)))=C\C=3))=O // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/N)=C(C(=O)N)/N=C\1))[C@H](O)[C@H](O)2) // C(OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(C(/NC=O)=C(C(=O)N)/N=C\1))[C@H](O)[C@H](O)2) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))C[C@H](O)3) // [O-]P(=O)(O)[O-] // C(C(=O)[O-])[C@H]([NH3+])C(=O)[O-] // C(/C([O-])=O)=C\C(=O)[O-] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N[C@@H](CC(=O)[O-])C([O-])=O)/N=C\N=2)))[C@H](O)[C@H](O)3) // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)5)) // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // O=P(O)(OP([O-])([O-])=O)[O-] // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // [H+] // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(/NC(=O)NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C(S)C(C(=O)NC([R1])C(=O)NC([R2])C(=O)NC(CS)C(=O)[a thioredoxin])N[a thioredoxin] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))[C@H](O)[C@H](O)3) // C1(=O)(NC([R2])C(=O)NC(CSSCC(N[a thioredoxin])C(=O)NC([R1])1)C(=O)[a thioredoxin]) // O // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\N=C(N)/NC(=O)C(\N=C/1)=2)))C[C@H](O)3) // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
UDP-alpha-D-glucose biosynthesis I	a phosphorylated phosphoglucomutase // alpha-D-glucose 1,6-bisphosphate // a phosphoglucomutase // diphosphate // UDP-alpha-D-glucose // H+ // UTP // D-glucopyranose 6-phosphate // alpha-D-glucopyranose 1-phosphate	alpha-D-glucopyranose 1-phosphate  <-->  D-glucopyranose 6-phosphate // alpha-D-glucopyranose 1-phosphate + UTP + H+  <-->  UDP-alpha-D-glucose + diphosphate	C(=O)([a phosphoglucomutase])[C@@H](N[a phosphoglucomutase])COP([O-])(=O)[O-] // C([C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])O1))OP([O-])(=O)[O-] // C(=O)([a phosphoglucomutase])[C@@H](N[a phosphoglucomutase])CO // O=P(O)(OP([O-])([O-])=O)[O-] // C(O)[C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@H](O1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-]) // [H+] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]2(O[C@@H](N1(\C=C/C(=O)NC1=O))[C@H](O)[C@H](O)2) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C(O)[C@H]1(O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H](O)[C@H](O)1)
spermidine biosynthesis I	S-methyl-5'-thioadenosine // spermidine // putrescine // S-adenosyl 3-(methylsulfanyl)propylamine // CO2 // S-adenosyl-L-methionine // H+	S-adenosyl-L-methionine + H+  ->  CO2 + S-adenosyl 3-(methylsulfanyl)propylamine // putrescine + S-adenosyl 3-(methylsulfanyl)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+	CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([NH3+])CC[NH2+]CCCC[NH3+] // C([NH3+])CCC[NH3+] // C[S+](CCC[NH3+])C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(=O)=O // C[S+](C[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))CC[C@@H](C(=O)[O-])[NH3+] // [H+]
gamma-glutamyl cycle	gamma-L-glutamyl-L-cysteine // glycine // L-cysteine // L-cysteinylglycine // glutathione // a proteinogenic amino acid // ADP // phosphate // L-glutamate // H+ // H2O // ATP // 5-oxo-L-proline // an L-amino acid // an alpha-(gamma-L-glutamyl)-L-amino acid	an alpha-(gamma-L-glutamyl)-L-amino acid  ->  an L-amino acid + 5-oxo-L-proline // 5-oxo-L-proline + ATP + 2 H2O  ->  L-glutamate + ADP + phosphate + H+ // a proteinogenic amino acid + glutathione  ->  L-cysteinylglycine + an alpha-(gamma-L-glutamyl)-L-amino acid // L-cysteinylglycine + H2O  ->  L-cysteine + glycine // glycine + gamma-L-glutamyl-L-cysteine + ATP  ->  ADP + glutathione + phosphate + H+ // L-cysteine + L-glutamate + ATP  ->  gamma-L-glutamyl-L-cysteine + ADP + phosphate + H+	C(S)[C@@H](C([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O // C([NH3+])C([O-])=O // C(S)[C@@H](C(=O)[O-])[NH3+] // C(C([O-])=O)NC([C@H](CS)[NH3+])=O // C(S)[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O // C([R])(=O)[O-] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // [O-]P(=O)(O)[O-] // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // [H+] // O // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(=O)([C@H]1(NC(CC1)=O))[O-] // [C@H]([R])(C([O-])=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
phosphate acquisition	phosphate // an alcohol // a phosphate monoester // H2O	a phosphate monoester + H2O  ->  an alcohol + phosphate	In SUBSEQ, `end' (3) is beyond the end of the sequence (2).
sucrose degradation III	beta-D-fructofuranose // sucrose // H2O // H+ // ADP // D-glucopyranose 6-phosphate // D-glucopyranose // ATP // beta-D-fructofuranose 6-phosphate // alpha-D-glucose 6-phosphate	alpha-D-glucose 6-phosphate  <-->  beta-D-fructofuranose 6-phosphate // D-glucopyranose + ATP  ->  D-glucopyranose 6-phosphate + ADP + H+ // sucrose + H2O  ->  beta-D-fructofuranose + D-glucopyranose // beta-D-fructofuranose + ATP  ->  beta-D-fructofuranose 6-phosphate + ADP + H+	C(O)[C@H]1(O[C@](O)(CO)[C@H]([C@@H]1O)O) // C(O)[C@H]2(O[C@H](O[C@]1(CO)(O[C@H](CO)[C@@H](O)[C@H](O)1))[C@H](O)[C@@H](O)[C@H](O)2) // O // [H+] // C(OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C([C@H]1(OC([C@@H]([C@H]([C@@H]1O)O)O)O))OP([O-])([O-])=O // C(=O)[R] // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(OP(=O)([O-])[O-])[C@H]1(O[C@@](CO)(O)[C@@H](O)[C@H](O)1) // C(OP(=O)([O-])[O-])[C@H]1(O[C@H](O)[C@H](O)[C@@H](O)[C@H](O)1)
phosphatidylglycerol biosynthesis II (non-plastidic)	diphosphate // CTP // a phosphatidate // coenzyme A // a 2-lysophosphatidate // an acyl-CoA // NAD(P)H // glycerone phosphate // NAD(P)+ // H+ // CMP // a CDP-diacylglycerol // sn-glycerol 3-phosphate // phosphate // a phosphatidylglycerol // a phosphatidylglycerophosphate // H2O	a phosphatidylglycerophosphate + H2O  ->  a phosphatidylglycerol + phosphate // a CDP-diacylglycerol + sn-glycerol 3-phosphate  ->  CMP + a phosphatidylglycerophosphate + H+ // sn-glycerol 3-phosphate + NAD(P)+  <-  glycerone phosphate + NAD(P)H + H+ // an acyl-CoA + sn-glycerol 3-phosphate  ->  a 2-lysophosphatidate + coenzyme A // an acyl-CoA + a 2-lysophosphatidate  ->  a phosphatidate + coenzyme A // CTP + a phosphatidate + H+  ->  a CDP-diacylglycerol + diphosphate	O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OC([R1])=O)[C@@H](OC(=O)[R2])COP([O-])(=O)[O-] // CC(C)(COP([O-])(=O)OP(OC[C@H]3(O[C@@H](N1(C2(\N=C/N=C(C(\N=C/1)=2)/N)))[C@H](O)[C@H](OP([O-])(=O)[O-])3))(=O)[O-])[C@@H](O)C(=O)NCCC(=O)NCCS // C([C@@H](O)COP([O-])(=O)[O-])OC(=O)[R] // C([R])(=O)[O-] // C1(/N(\C=C/CC(/C(N)=O)=1)[C@@H]5(O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]2(O[C@H]([C@H](O[R])[C@H](O)2)N3(\C=N/C4(C(/N)=N\C=N/C3=4))))[C@@H](O)[C@@H](O)5)) // C(C(=O)CO)OP([O-])([O-])=O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O[R])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // [H+] // C(OP(=O)([O-])[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O) // C(OP(OP([O-])(=O)OC[C@@H](COC([R1])=O)OC(=O)[R2])(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(C(/N=C(\C=C/1)/N)=O))O2)O)O) // C(OP([O-])(=O)[O-])[C@H](O)CO // [O-]P(=O)(O)[O-] // C(O)[C@@H](COP([O-])(=O)OC[C@H](OC(=O)[R2])COC(=O)[R1])O // C(OP([O-])(=O)[O-])[C@@H](COP([O-])(=O)OC[C@H](OC(=O)[R2])COC(=O)[R1])O // O
NAD de novo biosynthesis II (from tryptophan)	formate // NADP+ // L-kynurenine // NADPH // L-alanine // 3-hydroxy-L-kynurenine // 3-hydroxyanthranilate // N-formyl-L-kynurenine // L-tryptophan // dioxygen // NAD+ // AMP // L-glutamate // ATP // nicotinate adenine dinucleotide // L-glutamine // 5-phospho-alpha-D-ribose 1-diphosphate // CO2 // diphosphate // beta-nicotinate D-ribonucleotide // H+ // H2O // quinolinate // 2-amino-3-carboxymuconate-6-semialdehyde	2-amino-3-carboxymuconate-6-semialdehyde  ->  quinolinate + H2O + H+ // CO2 + beta-nicotinate D-ribonucleotide + diphosphate  <-  5-phospho-alpha-D-ribose 1-diphosphate + quinolinate + 2 H+ // ATP + nicotinate adenine dinucleotide + L-glutamine + H2O  ->  L-glutamate + AMP + NAD+ + diphosphate + H+ // beta-nicotinate D-ribonucleotide + ATP + H+  ->  nicotinate adenine dinucleotide + diphosphate // L-tryptophan + dioxygen  ->  N-formyl-L-kynurenine // 3-hydroxyanthranilate + dioxygen  ->  2-amino-3-carboxymuconate-6-semialdehyde // 3-hydroxy-L-kynurenine + H2O  ->  3-hydroxyanthranilate + L-alanine + H+ // L-kynurenine + NADPH + dioxygen + H+  ->  3-hydroxy-L-kynurenine + NADP+ + H2O // N-formyl-L-kynurenine + H2O  ->  L-kynurenine + formate + H+	C([O-])=O // C5(/C=C\C(\C(=O)N)=C/[N+](/[C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))=5) // C(=O)([O-])[C@@H]([NH3+])CC(=O)C1(/C=C\C=C/C(/N)=1) // C1(\N(/C=C(C\C=1)/C(=O)N)[C@@H]2(O[C@@H]([C@H]([C@H]2O)O)COP(OP(OC[C@H]5(O[C@@H](N3(C4(\C(\N=C/3)=C(N)/N=C\N=4)))[C@H](OP([O-])(=O)[O-])[C@H](O)5))(=O)[O-])(=O)[O-])) // C[C@H]([NH3+])C([O-])=O // C([O-])(=O)[C@@H]([NH3+])CC(=O)C1(/C=C\C=C(C(\N)=1)\O) // C1(\C=C(C(\N)=C(\C=1)\O)\C([O-])=O) // C(=O)NC1(/C=C\C=C/C(/C(=O)C[C@H]([NH3+])C(=O)[O-])=1) // C1(\NC2(/C=C\C=C/C(/C(\C[C@H]([NH3+])C(=O)[O-])=1)=2)) // O=O // C5(/C(/C(N)=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C(CC[C@@H](C(=O)[O-])[NH3+])([O-])=O // C(OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3) // C5(/C(/C([O-])=O)=C\C=C/[N+](/[C@@H]4(O[C@H](COP(OP(OC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3))(=O)[O-])(=O)[O-])[C@@H](O)[C@@H](O)4))=5) // C(=O)(N)CC[C@H]([NH3+])C([O-])=O // C(OP(=O)([O-])[O-])[C@@H]1([C@@H](O)[C@@H](O)[C@H](O1)OP(OP([O-])(=O)[O-])([O-])=O) // C(=O)=O // O=P(O)(OP([O-])([O-])=O)[O-] // C(OP(=O)([O-])[O-])[C@@H]2([C@@H](O)[C@@H](O)[C@H]([N+]1(\C=C/C=C(/C=1)/C(=O)[O-]))O2) // [H+] // O // C1(\N=C(C(/C([O-])=O)=C\C=1)\C([O-])=O) // C(=O)([O-])C(\C=C\C=O)=C(C([O-])=O)/[NH3+]
