Compound	InChI-Key
FMNH<SUB>2</SUB>	InChIKey=YTNIXZGTHTVJBW-SCRDCRAPSA-L
b-dglc-HEX-1:5|6:a	
2-amino-4-methyl-5-hydroxyethylthiazole	InChIKey=XGHVUVFECVBQLK-UHFFFAOYSA-O
(2<i>E</i>)-dodec-2-enoyl-CoA	InChIKey=IRFYVBULXZMEDE-DEEZISNZSA-J
an imino group	
(2<i>S</i>,3<i>S</i>)-2-methylcitrate	InChIKey=YNOXCRMFGMSKIJ-NFNCENRGSA-K
<i>S</i>-methyl-5'-thioadenosine	InChIKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N
5,10-methylene-tetrahydromethanopterin	InChIKey=GBMIGEWJAPFSQI-CAFBYHECSA-K
&alpha;-D-glucose 1,6-bisphosphate	InChIKey=RWHOZGRAXYWRNX-VFUOTHLCSA-J
(R)-mevalonate diphosphate	InChIKey=SIGQQUBJQXSAMW-ZCFIWIBFSA-J
2-<i>trans</i>, 5-<i>cis</i>, 7-<i>trans</i>-tetradecatrienoyl-CoA	InChIKey=XPVHXTGUZGACRU-MCFMHTHASA-J
3-methylbenzaldehyde	InChIKey=OVWYEQOVUDKZNU-UHFFFAOYSA-N
2,4-dinitrophenyl-S-glutathione	InChIKey=FXEUKVKGTKDDIQ-UWVGGRQHSA-M
(<i>S</i>)-NADPHX	InChIKey=SZKXTJUOKARGIY-VPHRTNKSSA-J
lanosterol	InChIKey=CAHGCLMLTWQZNJ-BQNIITSRSA-N
malonyl-CoA	InChIKey=LTYOQGRJFJAKNA-DVVLENMVSA-I
L-glutamate 5-semialdehyde	InChIKey=KABXUUFDPUOJMW-BYPYZUCNSA-N
4'-phosphopantetheine group	
L-aspartate	InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M
cyanate	InChIKey=XLJMAIOERFSOGZ-UHFFFAOYSA-M
CDP-choline	InChIKey=RZZPDXZPRHQOCG-OJAKKHQRSA-M
ubiquinone-<i>6</i>	InChIKey=GXNFPEOUKFOTKY-LPHQIWJTSA-N
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d	
dethiobiotin	InChIKey=AUTOLBMXDDTRRT-JGVFFNPUSA-M
(<i>R</i>)-lipoate	InChIKey=AGBQKNBQESQNJD-SSDOTTSWSA-M
decanoyl-CoA	InChIKey=CNKJPHSEFDPYDB-HSJNEKGZSA-J
ADP-D-ribose	InChIKey=SRNWOUGRCWSEMX-TYASJMOZSA-L
3-(hydroxymethyl)-5-methylphenol	InChIKey=SDJQWNMVKBEBSJ-UHFFFAOYSA-N
1-palmitoyl-<i>sn</i>-glycero-3-phosphocholine	InChIKey=ASWBNKHCZGQVJV-HSZRJFAPSA-N
L-aspartate 4-semialdehyde	InChIKey=HOSWPDPVFBCLSY-VKHMYHEASA-N
fenpropimorph	InChIKey=RYAUSSKQMZRMAI-UHFFFAOYSA-O
ferroheme <i>o</i>	InChIKey=FISPASSVCDRERW-ARQJTVBPSA-J
L-2-aminoadipate	InChIKey=OYIFNHCXNCRBQI-BYPYZUCNSA-M
uridine	InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N
2-iminopropanoate	InChIKey=DUAWRLXHCUAWMK-UHFFFAOYSA-N
L-homoserine	InChIKey=UKAUYVFTDYCKQA-VKHMYHEASA-N
(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate	InChIKey=JTEGNNHWOIJBJZ-ZJSQCTGTSA-M
(<i>R</i>)-2-hydroxyhexadecanoate	InChIKey=JGHSBPIZNUXPLA-OAHLLOKOSA-M
3-(4-hydroxyphenyl)pyruvate	InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M
phenylacetaldehyde	InChIKey=DTUQWGWMVIHBKE-UHFFFAOYSA-N
3-phospho-D-glyceroyl phosphate	InChIKey=LJQLQCAXBUHEAZ-UWTATZPHSA-J
CTP	InChIKey=PCDQPRRSZKQHHS-XVFCMESISA-J
(L-histidyl)adenylate	InChIKey=XTFBSLZFYLGYAT-OPYVMVOTSA-N
xanthurenate	InChIKey=FBZONXHGGPHHIY-UHFFFAOYSA-M
cerulenin	InChIKey=GVEZIHKRYBHEFX-NQQPLRFYSA-N
3-hydroxyanthranilate	InChIKey=WJXSWCUQABXPFS-UHFFFAOYSA-M
x-lido-HEX-1:5|6:a	
EDTA	InChIKey=KCXVZYZYPLLWCC-UHFFFAOYSA-L
(2<i>E</i>,6<i>E</i>)-farnesyl diphosphate	InChIKey=VWFJDQUYCIWHTN-YFVJMOTDSA-K
&alpha;-D-galactofuranose	InChIKey=AVVWPBAENSWJCB-TVIMKVIFSA-N
