Compound	InChI-Key	SMILES
FMNH2	InChIKey=YTNIXZGTHTVJBW-SCRDCRAPSA-L	CC1(\C(/C)=C/C2(/N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)[O-])C3(/NC(=O)NC(=O)C(\NC(/C=1)=2)=3)))
b-dglc-HEX-1:5|6:a		
2-amino-4-methyl-5-hydroxyethylthiazole	InChIKey=XGHVUVFECVBQLK-UHFFFAOYSA-O	CC1(\NC(SC(/CCO)=1)=[NH2+])
(2E)-dodec-2-enoyl-CoA	InChIKey=IRFYVBULXZMEDE-DEEZISNZSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
an imino group		[C-2]=[NH2+]
(2S,3S)-2-methylcitrate	InChIKey=YNOXCRMFGMSKIJ-NFNCENRGSA-K	C([R])(=O)[O-]
S-methyl-5'-thioadenosine	InChIKey=WUUGFSXJNOTRMR-IOSLPCCCSA-N	CSC[C@H]3(O[C@@H](N1(C2(\C(\N=C/1)=C(N)/N=C\N=2)))[C@H](O)[C@H](O)3)
5,10-methylene-tetrahydromethanopterin	InChIKey=GBMIGEWJAPFSQI-CAFBYHECSA-K	C[C@H]4([C@@H]3([C@@H](C)N(C2(\C=C/C(\C[C@H](O)[C@H](O)[C@H](O)CO[C@@H]1([C@H](O)[C@@H]([C@@H](COP([O-])(=O)O[C@H](C(=O)[O-])CCC(=O)[O-])O1)O))=C\C=2))CN3C5(\C(=O)NC(/N)=N/C(\N4)=5)))
alpha-D-glucose 1,6-bisphosphate	InChIKey=RWHOZGRAXYWRNX-VFUOTHLCSA-J	C([C@@H]1([C@@H](O)[C@H](O)[C@@H](O)[C@@H](OP(=O)([O-])[O-])O1))OP([O-])(=O)[O-]
(R)-mevalonate diphosphate	InChIKey=SIGQQUBJQXSAMW-ZCFIWIBFSA-J	C[C@@](O)(CCOP(=O)([O-])OP([O-])([O-])=O)CC(=O)[O-]
2-trans, 5-cis, 7-trans-tetradecatrienoyl-CoA	InChIKey=XPVHXTGUZGACRU-MCFMHTHASA-J	CCCCCC/C=C/C=C\C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(OP(=O)(OC[C@@H]1([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O1)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
3-methylbenzaldehyde	InChIKey=OVWYEQOVUDKZNU-UHFFFAOYSA-N	C(=O)[R]
2,4-dinitrophenyl-S-glutathione	InChIKey=FXEUKVKGTKDDIQ-UWVGGRQHSA-M	C(S[R])[C@@H](C(NCC([O-])=O)=O)NC(=O)CC[C@H]([NH3+])C([O-])=O
(S)-NADPHX	InChIKey=SZKXTJUOKARGIY-VPHRTNKSSA-J	C5(/N([C@@H]1(O[C@@H]([C@H]([C@H]1O)O)COP(OP(OC[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](OP([O-])(=O)[O-])[C@H](O)4))(=O)[O-])(=O)[O-]))[C@@H](O)CCC(/C(=O)N)=5)
lanosterol	InChIKey=CAHGCLMLTWQZNJ-BQNIITSRSA-N	CC(C)=CCC[C@H]([C@@H]1([C@]3(C)([C@@](C)(CC1)C4(\CC[C@@H]2(C(C)(C)[C@@H](O)CC[C@@]2(C(\CC3)=4)C)))))C
malonyl-CoA	InChIKey=LTYOQGRJFJAKNA-DVVLENMVSA-I	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
L-glutamate 5-semialdehyde	InChIKey=KABXUUFDPUOJMW-BYPYZUCNSA-N	C([R])(=O)[O-]
4'-phosphopantetheine group		CC([C@@H](O)C(=O)NCCC(NCCS)=O)(C)COP([O-])(=O)[O-]
L-aspartate	InChIKey=CKLJMWTZIZZHCS-REOHCLBHSA-M	C(C(=O)[O-])[C@H]([NH3+])C(=O)[O-]
cyanate	InChIKey=XLJMAIOERFSOGZ-UHFFFAOYSA-M	C([O-])#N
CDP-choline	InChIKey=RZZPDXZPRHQOCG-OJAKKHQRSA-M	C[N+](C)(C)CCOP(OP(OC[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O))(=O)[O-])([O-])=O
ubiquinone-6	InChIKey=GXNFPEOUKFOTKY-LPHQIWJTSA-N	C1([R4])(=C([R3])C(=O)C(/[R3])=C([R1])/C(=O)1)
a-dgro-dgal-NON-2:6|1:a|2:keto|3:d		
dethiobiotin	InChIKey=AUTOLBMXDDTRRT-JGVFFNPUSA-M	C[C@@H]1(NC(=O)N[C@@H]1CCCCCC(=O)[O-])
(R)-lipoate	InChIKey=AGBQKNBQESQNJD-SSDOTTSWSA-M	C(CCC(=O)[O-])C[C@@H]1(CCSS1)
decanoyl-CoA	InChIKey=CNKJPHSEFDPYDB-HSJNEKGZSA-J	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(=O)[R])COP(=O)(OP(=O)(OC[C@H]1(O[C@H]([C@@H]([C@@H]1OP([O-])(=O)[O-])O)N2(C3(\N=C/N=C(C(\N=C/2)=3)/N))))[O-])[O-]
ADP-D-ribose	InChIKey=SRNWOUGRCWSEMX-TYASJMOZSA-L	C(OP(=O)([O-])OP(OC[C@@H]1([C@@H](O)[C@@H](O)C(O1)O))(=O)[O-])[C@H]4(O[C@@H](N2(C3(\C(\N=C/2)=C(N)/N=C\N=3)))[C@H](O)[C@H](O)4)
3-(hydroxymethyl)-5-methylphenol	InChIKey=SDJQWNMVKBEBSJ-UHFFFAOYSA-N	CC1(\C=C(/C=C(\C=1)/O)\CO)
1-palmitoyl-sn-glycero-3-phosphocholine	InChIKey=ASWBNKHCZGQVJV-HSZRJFAPSA-N	CCCCCCCCCCCCCCCC(OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C)=O
L-aspartate 4-semialdehyde	InChIKey=HOSWPDPVFBCLSY-VKHMYHEASA-N	C([R])(=O)[O-]
fenpropimorph	InChIKey=RYAUSSKQMZRMAI-UHFFFAOYSA-O	CC(CC1(\C=C/C(/C(C)(C)C)=C\C=1))C[NH+]2(CC(C)OC(C)C2)
ferroheme o	InChIKey=FISPASSVCDRERW-ARQJTVBPSA-J	C=CC3(\C7(\[N+]4(\[Fe-2]16([N+]5(\C(/C(\CCC(=O)[O-])=C(C)\C(/C=C2(C(\C)=C(C(\N12)=C\C(\C(/C)=3)=4)/[C@@H](O)CC/C=C(C)/CC/C=C(C)/CCC=C(C)C))=5)=C/C8(/N6C(/C=7)=C(C)/C(\CCC(=O)[O-])=8))))))
L-2-aminoadipate	InChIKey=OYIFNHCXNCRBQI-BYPYZUCNSA-M	C([R])(=O)[O-]
uridine	InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N	C(O)[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(=O)NC1=O))O2)O)O)
2-iminopropanoate	InChIKey=DUAWRLXHCUAWMK-UHFFFAOYSA-N	CC(C(=O)[O-])=[NH2+]
L-homoserine	InChIKey=UKAUYVFTDYCKQA-VKHMYHEASA-N	C([R])(=O)[O-]
(12Z,15Z)-9,10-epoxyoctadeca-12,15-dienoate	InChIKey=JTEGNNHWOIJBJZ-ZJSQCTGTSA-M	C([R])(=O)[O-]
(R)-2-hydroxyhexadecanoate	InChIKey=JGHSBPIZNUXPLA-OAHLLOKOSA-M	C([R])(=O)[O-]
3-(4-hydroxyphenyl)pyruvate	InChIKey=KKADPXVIOXHVKN-UHFFFAOYSA-M	C([R])(=O)[O-]
phenylacetaldehyde	InChIKey=DTUQWGWMVIHBKE-UHFFFAOYSA-N	C(=O)CC1(\C=C/C=C\C=1)
3-phospho-D-glyceroyl phosphate	InChIKey=LJQLQCAXBUHEAZ-UWTATZPHSA-J	C([C@@H](O)C(OP(=O)([O-])[O-])=O)OP(=O)([O-])[O-]
CTP	InChIKey=PCDQPRRSZKQHHS-XVFCMESISA-J	C(OP(OP(OP(=O)([O-])[O-])([O-])=O)(=O)[O-])[C@@H]2([C@H]([C@H]([C@H](N1(\C=C/C(/N)=N\C1=O))O2)O)O)
(L-histidyl)adenylate	InChIKey=XTFBSLZFYLGYAT-OPYVMVOTSA-N	C([R])(=O)[O-]
xanthurenate	InChIKey=FBZONXHGGPHHIY-UHFFFAOYSA-M	C(=O)([O-])C1(\C=C(C2(/C=C\C=C(C(\N=1)=2)\O))\O)
cerulenin	InChIKey=GVEZIHKRYBHEFX-NQQPLRFYSA-N	C/C=C/C/C=C/CCC(=O)[C@@H]1(O[C@@H](C(N)=O)1)
3-hydroxyanthranilate	InChIKey=WJXSWCUQABXPFS-UHFFFAOYSA-M	C1(\C=C(C(\N)=C(\C=1)\O)\C([O-])=O)
x-lido-HEX-1:5|6:a		
EDTA	InChIKey=KCXVZYZYPLLWCC-UHFFFAOYSA-L	C(C[NH+](CC([O-])=O)CC([O-])=O)[NH+](CC([O-])=O)CC([O-])=O
(2E,6E)-farnesyl diphosphate	InChIKey=VWFJDQUYCIWHTN-YFVJMOTDSA-K	CC(C)=CCCC(\C)=C/CCC(\C)=C/COP(OP([O-])(=O)[O-])(=O)[O-]
alpha-D-galactofuranose	InChIKey=AVVWPBAENSWJCB-TVIMKVIFSA-N	C(=O)[R]
acrylate	InChIKey=NIXOWILDQLNWCW-UHFFFAOYSA-M	C([R])(=O)[O-]
(3S)-2,3-epoxy-2,3-dihydrosqualene	InChIKey=QYIMSPSDBYKPPY-RSKUXYSASA-N	CC(C)=CCCC(\C)=C/CCC(\C)=C/CC/C=C(C)/CC/C=C(C)/CC[C@H]1(C(C)(C)O1)
